model,class,precision,recall,f1,support
Full13NoB10,HerbaceousVegetation,0.9141914191419142,0.9233333333333333,0.9187396351575456,600.0
Full13NoB10,Highway,0.9262135922330097,0.954,0.9399014778325123,500.0
Full13NoB10,Industrial,0.9566074950690335,0.97,0.9632571996027806,500.0
Full13NoB10,Pasture,0.9371859296482412,0.9325,0.9348370927318296,400.0
Full13NoB10,PermanentCrop,0.9237668161434978,0.824,0.8710359408033826,500.0
Full13NoB10,Residential,0.984822934232715,0.9733333333333334,0.9790444258172674,600.0
Full13NoB10,River,0.966,0.966,0.966,500.0
Full13NoB10,SeaLake,0.9881956155143339,0.9766666666666667,0.9823973176865046,600.0
Full13,AnnualCrop,0.9332247557003257,0.955,0.943986820428336,600.0
Full13,Forest,0.9880749574105622,0.9666666666666667,0.9772535804549284,600.0
Full13,HerbaceousVegetation,0.9113712374581939,0.9083333333333333,0.9098497495826378,600.0
Full13,Highway,0.9894736842105263,0.94,0.9641025641025641,500.0
Full13,Industrial,0.9625779625779626,0.926,0.9439347604485219,500.0
Full13,Pasture,0.8853211009174312,0.965,0.9234449760765551,400.0
Full13,PermanentCrop,0.8455445544554455,0.854,0.8497512437810946,500.0
Full13,Residential,0.979933110367893,0.9766666666666667,0.9782971619365609,600.0
Full13,River,0.9682539682539683,0.976,0.9721115537848606,500.0
Full13,SeaLake,0.978405315614618,0.9816666666666667,0.9800332778702163,600.0
