class_name,true_label,class_rank,band_index,band_name,mean_confidence_drop,median_confidence_drop,std_confidence_drop,positive_support_rate,prediction_change_rate,n_samples
River,8,4,6,B8,0.02839726305007931,0.001318484544754,0.09356060969956448,0.966,0.02,500
River,8,5,2,B2,0.027266066491603843,0.00013902783393855,0.1249282263391418,0.63,0.034,500
River,8,6,9,B12,0.020482651472091638,0.0006574690341949001,0.07722938168381384,0.95,0.02,500
River,8,7,3,B5,0.015827083528041817,0.00022506713867185,0.07660979701440421,0.804,0.02,500
River,8,8,5,B7,0.014014186561107604,0.00049120187759395,0.06017243031206826,0.948,0.012,500
River,8,9,4,B6,0.0026699790358543324,1.621246337890625e-05,0.031759126730031735,0.672,0.006,500
River,8,10,7,B8A,-4.228663444518434e-05,-4.112720489501953e-06,0.02013171980261937,0.43,0.006,500
SeaLake,9,1,0,B4,0.10582614973187444,0.00125053524971,0.24326421389879527,0.9233333333333333,0.10166666666666667,600
SeaLake,9,2,2,B2,0.05212667460242904,0.0007942616939543999,0.1679729450829121,0.91,0.04666666666666667,600
SeaLake,9,3,3,B5,0.005289948036273312,0.0,0.034136811227110944,0.4716666666666667,0.0033333333333333335,600
SeaLake,9,4,8,B11,0.004210910846789682,-3.3974647521972656e-06,0.06585708488005355,0.335,0.01,600
SeaLake,9,5,7,B8A,0.0025854569673538085,5.125999450683594e-06,0.020782105424411876,0.7066666666666667,0.0033333333333333335,600
SeaLake,9,6,5,B7,0.002137840737899139,0.0,0.025048659678554634,0.4666666666666667,0.0033333333333333335,600
SeaLake,9,7,9,B12,0.0011585785945256559,-2.384185791015625e-07,0.03154739548105501,0.43166666666666664,0.0033333333333333335,600
SeaLake,9,8,6,B8,-0.00013263965646425645,-1.0132789611816406e-06,0.0368306274016111,0.40166666666666667,0.005,600
SeaLake,9,9,4,B6,-0.00045457765460013555,-1.2636184692382812e-05,0.011226627701824027,0.15333333333333332,0.0,600
SeaLake,9,10,1,B3,-0.0036894735197226035,-4.3332576751708984e-05,0.05936531525023378,0.16333333333333333,0.006666666666666667,600
